"id","description","industry","level","size","line_code","value","created_at","updated_at"
"1","7sLwkKQwruYv3qoGhzz1P0qQl9JZruvQnRXIsy2H","AiUyGmz7CftSvYoIQHLs","P0QCj9Mt52EDKHmvDDRk","FvNtuCOVQsh5hTHeoTye","mRo2oK5vpVagGiYG4kvb","r0MhEitd9WqZDXv8Rpjvhz4cdXEpdF","2023-07-22 06:43:47","2023-07-22 06:43:47"
"2","O7K0CkmFhmW98n9zv8sioJYZuGZ7rXgAdqYIqaJC","U5Kb1oxwxTR3fyM5jABm","mNyhBYpT6E8jcMslJElu","5JwR3NRm1s7WUePJZETy","rsNWV1p3R8fKlLO3XKGk","7egSw1Q3qVyjE8LB4Cxc7xEcBeO3fw","2023-07-22 06:43:48","2023-07-22 06:43:48"
"3","osMkO93xMaUMiaVZXLMdQ44DkckJVwWRSJIytbVE","vZyvY3nUTFvXr6VOQWqm","9Pijk00JrvKEnqYARTJE","ZugOK7XFgJ4FxueaGWtO","W2n50nMOnXeBF8yie7RB","zg8vEE8mIWkvYmPQBkHJf3iNwI8cjW","2023-07-22 06:43:48","2023-07-22 06:43:48"
"4","fMr9Em6Pm6gtHaKx13DOLiBKSgfwDRMHaDo1ntKp","3VbgVBKBPadal2Xlh5K9","cxyUampxSKKOQZjkt6tX","3NrU8PAZiF4PFsGaYdAU","2FY1OiJCB730Rq3FLItT","hCEWDCF2rsYcM4uRPVhoOi6a1mM49Q","2023-07-22 06:43:48","2023-07-22 06:43:48"
"5","ute6jo74nh3wGHhpFXCHzxag0bOBGFizWnXHACdd","neKIjvj6EoOD1Kk5fHAF","tWxna3p5ZeOD8ZCOiJ5D","hjyLYzXHpERwNXJNEtof","r3Apm957lHrWYApr2RxC","zxchFNqo98EkorYKfx0zYXZtCnIikh","2023-07-22 06:43:48","2023-07-22 06:43:48"
"6","s2WgTr72lBkN5U2ocAUh2gAANSzpfmWGR29uW8ul","1IBItWeFYX4IqAvrTC8C","Y9TwMC3j5vg0KlBHKhBI","eR43pakNrC6VkPumZows","7LtFn2erEYvc0n2Z6l8g","ZZgsr5xKb6MkLDvJE3laOCA8JQe6KR","2023-07-22 06:43:48","2023-07-22 06:43:48"
"7","5DDG7RXecJPFaRABP0gdbVpjP1g0ZZUYeYdpTNXe","6Ry5X8T1IXUvcmjOwHFL","lcQSYT73uZuWD6KjbLoG","nvvNMl464v1ic4bPAltk","RN9IsjLbLU5KNChuN2sf","T6V1EdHOZLc5DKiAQrobjApR3AAtZN","2023-07-22 06:43:48","2023-07-22 06:43:48"
"8","We7doxWUbhtUOQnPYDcAFtWEWfbC9FjxiVo7mOH8","HXTtNDNTefx1nX2IxTQN","2GnKJroZrK0WjTl6aCbP","6WLSNx0zN5cZOkmXeguO","XOQm2nJg5ppG8cyIMcly","iVKfxwBsyUHP1A3FG4aw9Izx0vQ0Rm","2023-07-22 06:43:48","2023-07-22 06:43:48"
"9","ashVx5EGs2Y64GeWXYGxoG1a4kdewe9rbrt8hpiO","DkdmJ4TyYcmTAeULg6eD","MOZe3jXvNGSIPa0hnbaP","rDQyctNhhnQlbs40MVZk","8TtbuGrhPKOULE4Anvrq","hzNaVHQI6ONjfX5hiZDbeUw4sU1w3A","2023-07-22 06:43:48","2023-07-22 06:43:48"
"10","GHrmx2MDGv0nBrY2F2WKSeycREmPBFmOdo1fdtaY","gmEdDmUzuo424cDR4LEa","SNcpbIzaeME74noJxNEJ","CJYVPXEKifp8b6SQBvvD","oyQzrnbG549A8P366wbq","J3jENx5quAvEie8jc0u3dBbwbsxW5M","2023-07-22 06:43:48","2023-07-22 06:43:48"
